sku,rating,good points,bad points
B12ACB0161,8,"Veel zakken, stevige stof, goede ritsen, aangenaam warm maar niet te, winddicht en waterdicht",De kraag is vrij stug en zit soms oncomfortabel tegen m'n kin
B12ACB0161,9,Functioneel bij een mooi ontwerp,Geen
B12ACB0161,8,"Goed wind en waterdicht, valt iets ruim waardoor je makkelijk laagjes eronder kunt dragen, isoleert goed en houdt warm.",De prijs zonder korting is vrij hoog
B12ACB0161,8,Veel zakken 3 binnenzakken 1 met rits en 2 netzakken. Aan de buitenkant ook 3 zakken 1 met rits borst hoogte en 2 zakken met knopen aan de onderkant.,Ja de minpunt is dat de jas vrij strak zit voor mijn schouders niet echt prettig.
B12ACB0161,9,"de bescherming die de jas geeft tegen wind, kou","de dubbele ritssluiting is moeilijk om de rits erin te krijgen. Als de jas te strak zit gaat de onderste sluiting vanzelf iets omhoog. de 2 diepe zakken aan de voorkant zijn ideaal veel ruimte, maar aan de zijkant zitten ook insteek zakken, daar kun je haast niks indoen, spullen vallen er dan uit"
B12ACB0161,8,Het is nog te kort de tijd om de kwaliteit te beoordelen. Ik zou de jas kwaliteit willen beoordelen na een paar maanden te hebben gebruik. In principe lijk een goede kwaliteit,Ik kan nog niet zeggen het is te prematuur
B12ACB0161,8,Goed waterdicht en warm. Gewoon een mooie en comfortabele jas,De zakken zijn niet echt handig er valt makkelijk iets uit. Een rits of klittenband zou een oplossing kunnen zijn
B12ACB0161,10,Mooie jas die echt 100% waterdicht is!,niets
B12ACB0162,10,Heerlijk warm en ruim zittend! Er werd geklaagd dat er een binnenzak met rits in zit. Maar er zit naast de rits aan de buitenkant en perfect afsluitbaar zakje voor je telefoon of portomonee! (Sowieso fijn veel zakken!) Echt een fijne jas!,De rits was de eerste paar keer wat lastig. Ik weet nu hoe hij moet. Niet gek erg storend dus.
B12ACB0162,8,Hoge kraag Lekker warm Veel zakken Goede pasvorm,"Ondanks dat er meer dan genoeg zakken te vinden zijn op/in de jas, is het jammer dat de jas geen goed afsluitbare binnenzak heeft."
B12ACB0162,9,Wind en waterdicht,De rits is moeilijk dicht te maken aan de onderkant
B12ACB0162,9,Kwaliteit,Minder opsmuk zoals zakken
B12ACB0162,10,Lekker warm,Betere zichtbaarheid in de nacht
