sku,rating,good points,bad points
C12AE90010,8,Super licht. Houdt water van buiten tegen. Goede lange armen en rug.,"Ventilatie had nog beter gemogen. Het gaan niet plakken zoals bij een normale kunstof jas, maar binnenkant wordt wel vochtig. Opening in de oksels had al wat geholpen."
C12AE90010,10,Het product belooft wat het kan,Geen
C12AE90010,9,"Wind en regen dicht, zeer licht, op te rollen , ademend",Nee
D12ACB0001,5,Warm,Absoluut NIET ademend
DABAF00002,10,Licht strak,Geen
DABAF00002,8,Gebruikt tijdens lange fietsrit met veel regen en droog gebleven. En dat zonder te zweten. Gore Tex doet zijn werk goed.,Het is niet super compact om op te bergen
DABAF00002,10,"De jas ademt zeer goed, blijkende uit het feit dat de binnenkant droog blijft. De jas is goed winddicht en in de winter prima te gebruiken met een onderlaag.",Geen.
DABAF00002,8,Prima pasvorm.,Borstzak beetje klein.
DABAF00002,7,"Kwaliteit afwerking, design en kleur zijn goed.","Elastiek in de mouwen is niet zo comfortabel, had een zachte manchet binnen de mouw kunnen zijn."
DABAF00002,8,Draagbaar licht makkelijk mee te nemen,Weet ik niet
DABAF00002,8,"Waterdicht, licht, fijne draagcomfort",Ademend kan altijd beter en ik vind jassen altijd te duur.
EABAC90002,4,Degelijk jack,"Stug materiaal, voorkant lijkt op een vuilniszak."
B12AE90180,9,"Goede wind- en waterdichte jas, leuk model voor een regenjas",De capuchon had wat groter gemogen
B12AE90180,8,"Super wind en waterdicht, lekker lange mouwen.","ja, de voorzijde kruipt tijdens het fietsen omhoog zodat je knieën toch net nat worden. Capuchon mag net wat groter, mn als je ook een muts draagt."
B12AE90180,8,"de maat, de pasvorm, de lekker lange mouwen",iets meer uit stekende klep bovenop capuchon zou fijn zijn
B12AE90178,9,Comfortabel en licht en goed ontworpen,"Wat meer reflectoren zodat je in het donker opvalt, jas is erg donker"
B12AE90178,9,Mooi en stijlvol doet wat t moet doen,Nog niet gevonden
B12AE90178,7,"mooi model, nog geen goede beoordeling van de waterdichtheid vanwege de droge periode",split achterkant te klein waardoor je op de jas moet gaan zitten op de fiets
EABCF00003,8,Goede weersbescherming,De rits lijkt zeer kwetsbaar!!
E12ACA0087,8,"Fijne aansluitende pasvorm voor het skiën. Beperkte isolatie, zodat de jas niet te warm wordt bij het sportieve skiën.",Het is geen goedkope jas.
E12ACA0087,8,-,-
DABCF00001,9,"Het is echt een erg lekker en goed sluitende jas. hij zit zeer comfortabel en met name de sluiting bij de nek/hals en polsen is uitermate goed doordacht. echt een super lekker zittende sluiting, waar ook in racehouding echt geen wind tussendoor komt.","de voorzijde is erg hoog ingesneden, waardoor deze net onder de navel sluit. De lengte aan de voorzijde had dus wel wat langer gemogen. De zakken op de achterzijde zijn erg diep en de opening zit daardoor erg hoog op de rug. Daardoor moet je wel heel ver omhoog rijken om voeding e.d. uit je jas te halen. (De totale lengte is gewoon wat kort, maar een maat groter, sluit hij bij de rest van het lichaam dan echt te ruim."
E12ACA0056,10,Alles,Zou het niet weten
E12ACA0056,8,Warme jas. Capuchon kan aangepast worden waardoor deze strakker om het hoofd zit. Wel fijn bij het achterom kijken.,De binnenzak heeft geen rits.
E12ACA0056,8,Lekker warm! Fijne lange mouwen.,"Zit vrij ruim, is niet getailleerd."
E12ACA0056,9,Goede buiten jas met veel opties.,Her en der wat naadjes met losse draadjes eraan. Zijn resten van het baaien. Zal geen kwaad kunnen. Het oogt alleen wat goedkoop.
B12AH90073,5,Lichtgewicht,Batterij haalt maar 50 % Van de vermelde tijdsduur
E12ACA0151,10,"Fijne fleece, met goede pasvorm waardoor je niet te dik gekleed bent. Lekker warm, en fijn materiaal en afwerking","Enige is dat het wat lastig over een basislaag heen gaat, maar dat vind ik niet hinderlijk"
BABDD90012,9,Alle,Nei
E12A000011,8,"Mooie jas, die behalve voor skiën ook geschikt is voor wandelingen en andere buiten aktiviteiten.",Prijzige jas.
E12A000011,10,Winddicht mooie kleuren flexibel goede pasvorm,Nee
E12A000011,10,"Echt een hele fijne jas, gebruik de shell met de onderjas momenteel in Noorwegen waar het minus 15 graden is en ik heb nergens last van. Genoeg zakken, goeie hoge kraag en alles lekker ruim",Geen
E12ACA0076,8,"Mooie, warme jas.",Een klein zakje voor zonnebril of iets dergelijks zou handig geweest zijn.
E12AE90018,8,"Fijne zakken, flexibele snit en stof, erg comfortabel","De kraag had misschien toch beter openritsbaar kunnen zijn, zo af en toe wordt de kraag een beetje vervelend in je gezicht. Gebrek aan sneeuwvangers in de mouwen is een klein verbeterpuntje."
E12ACA0183,9,Alles voldoet aan de verwachtingen en ik vind het een fijn idee dat er gerecycled materiaal in sommige onderdelen is verwerkt.,Persoonlijk had ik graag nog een extra binnenzak aan de linker-onderzijde gehad. Makkelijk te integreren volgens mij met minimale kosten.
E12ACA0055,10,"compleet, alles zit er op. Mooi en zit lekker","rits voelt wat licht aan, hopelijk blijft deze heel"
E12ACA0055,9,"Veel zakken (buiten op en binnen in), stevige stof, goed wind en water dicht, warm, soepele zachte stof.","Rits gaat wat moeilijk dicht (stof blijft er soms tussen zitten) en de rits kan alleen omhoog dicht, niet ook vanaf de onderkant. De capuchon kan niet opgeborgen worden."
E12ACA0055,9,Kwaliteit en kleur (goed zichtbaar in verkeer),Losse capuchon zou mooi zijn
E12ACA0055,9,"Isoleert goed tegen kou, is waterdicht en vrijwel winddicht. Door ademend vermogen en ventilatie blijft het comfortabel. Strak design, mooi afgewerkt, met veel zakken en ritsen op heel handige plaatsen. Prijs/kwaliteit is super, vergelijkbaar met jassen van twee keer zo duur.","De ritsen zijn van goede kwaliteit maar relatief klein uitgevoerd, waardoor ze soms net wat lastiger dichtgaan. Maar dat is echt een heel klein punt."
E12ACA0055,10,"Jas isoleert goed, maar ademt ook heel goed. Geen last van overmatig zweten. Jas is perfect waterdicht; meerdere keren in de sneeuw gevallen zonder nat te worden. In de binnenzak zit een microvezeldoekje, wat erg handig is om de skibril snel schoon te maken.","ritsen van de zakken sluiten naar beneden. Dit is verwarrend, omdat ritsen normaal gesproken naar boven sluiten. Dit went echter snel"
E12ACA0055,9,Zit lekker,Geen
E12ACA0055,10,Top Kwaliteit!,N.V.T
E12ACA0154,7,"Ontwerp en pasvorm,",Isolatie van de jas valt tegen. Rits met sluiting links is lastig.
E12ACA0156,9,"Fijne warme jas. Goede pasvorm, skipas vakje in de mouw.","Een “geheim” jaszak aan de binnenkant, dat had de jas echt perfect gemaakt."
BABAD90003,8,Juiste pasvorm. Waterdicht en toch ademende stof. In en uitneembare binnenjas met universele ykk rits. Beide zeer licht in gewicht. Goed isolerende buitenjas en voering waardoor het gehele jaar door te gebruiken. Handig skipas en brildoek zak op mouw.,Rits kan niet vanaf onder open. Weinig zakken. Smartphone pas niet in borstzak.
BABAD90003,8,Mooi 3 in 1 pak.,Sleeves aan de mouwen mis ik
BABAD90003,9,"Toelichting op de pas vorm: Zelf voor een wat grotere jas gekozen, zodat de onderkant wat verder over de benen heen hangt.  Daarbij wel iets te lange mouwen.   Sterke punten:  Veel vakken, tot nu toe echt water dicht. Wind dicht. Capuchon kan goed onder een helm, tijdens het scooters.  Zo geen wind in de nek.","De ""knopjes"" waarmee de mouwen vast zitten hadden er 2 per kant kunnen zijn om met het uittrekken van de jas ervoor de zorgen dat de mouw beter op de plek blijft."
BABAD90003,8,All year round,Wind/ sneeuwvang zit verborgen onder binnenjas/voering Kan alleen dicht als je de binnenjas apart draagt!
BABAD90003,8,"Beschermt goed tegen de elementen. Gaat weinig wind doorheen, waardoor je lekker warm blijft zonder dat je een hele dikke jas aan hebt.","Als je de binnenjas er in hebt zitten, dan wil deze nog wel eens een beetje schuiven als je de jas uittrekt. Dit went echter ook wel weer."
BABAD90003,8,Heerlijk warme wind en waterdichte jas. Ideaal dat je bij warmere dagen de binnen en buitenjas los van elkaar kan dragen.,De hals opening is bij een dichtgeritste jas nog erg ruim waardoor het soms fijner is om er een sjaal bij te dragen.
BABAD90003,8,Lekker warm in zijn geheel.  Ook apart zijn de jassen goed te dragen.,De mouwen van de buiten jas zijn aan de lange kant als de binnen jas er niet in zit.
BABAD90003,9,"de jas is soepel, goed in te bewegen",binnen mouwen smal
BABAD90003,7,"Goede, kwalitatieve stof. Water en winddicht!","Opening rond de hals is heel wijd, waardoor je bij een beetje kou direct een sjaal erbij nodig hebt. Capuchon is ook erg groot. Valt vanzelf vóór je ogen."
BABAD90003,6,"Er is goed over de jas nagedacht. Er zitten allerlei touwtjes, elastiekjes en klitteband afsluitingen om de jas winddicht te maken.",De binnen- en buitenjas verschuiven steeds tov. elkaar. Dat is lastig met aan- en uittrekken.  De ritssluitingen werken andersom. Het is alsof ik een damesjas aantrek. Verg veel gewenning!  Ik mis met name binnenzakken in deze jas.
BABAD90003,9,De vulling en de pasvorm voldoen uitstekend; je kunt deze jas ook prima in de winter dragen en je comfortabel voelen.,"Ik vind de onderste laag van de jas niet echt geschikt om als zomerjas te dragen. Eerlijkheidshalve heb ik dat ook nog niet gedaan, maar ben vast van plan om deze jas heel wat winters te gebruiken."
E12ACA0089,8,"Veel ruimte in zakken, goede ritsen, fijn om te dragen, goed waterdicht","Pasvorm kan beter. Ik heb ruimte voor nog een persoon erbij. Kleiner kopen is geen optie, omdat ik lange mouwen nodig heb."
E12ACA0145,10,"Lekker dun en licht.  Erg warm, veel zakken en goed waterdicht",Nee
BABCF10004,8,Behoorlijk wind- en waterdicht  Gesealde ritsen Genoeg zakken Sneeuwvanger Stelmogelijkheden capuchon zijn uitstekend.,Een tweeweg ritssluiting mis ik enorm en hij blijkt toch wat minder warm dan mijn oude ‘Berghaus’ jas.
BABDF00001,10,Alles,De rits zou ik liever wat dikker hebben
BABDF00001,9,Draagt licht en luchtig en is toch goed warm en heel functioneel om mee te skiën!,Schuine insteek zakken zouden nog een verbetering kunnen zijn.
BABDF00001,10,Pasvorm en draagcomfort,Als ik iets moet noemen dan zou het de ritssluiting zijn: soms even prutsen voor je hem  kunt ritsen.
BABDF00001,9,Zit heerlijk. Ruime capuchon waar skihelm onder past. Zacht stukje bij de kin wanneer capuchon op zit. Ik denk precies goed warm voor standaard wintersport. Heeft wel een isolatielaag maar is geen super warme jas voor -30 skiën.,"Goed te weten dat (vgm alle) NF jassen een ‘vrouwenrits’ hebben. Voor mannen even wennen, omdat de sluiting aan de andere kant zit. Er zitten geen sneeuwvangers bij de handen"
BABDF00001,9,Comfortabele warme jas.,Hectisch wennen aan de ritssluiting. Die werkt andersom zoals een damesjas
BABDF00001,10,Fijne jas. Lijkt dun maar is goed warm. Valt iets langer. Dat is perfect met snowboarden.  Genoeg zakken voor je spullen. Alle zakken zijn waterdicht.,Geen
ADBCD52058,8,Lichte en goed draagbare jas. Ruime zakken ideaal als windstopper met de mogelijkheid om laagjes onder de jas te dragen.,Capuchon zou eraf moeten kunnen.
BABDF00001,9,Dun maar toch lekker warm,In de zakken zitten haakjes die hoeven er voor mij niet in.
E12ACA0101,9,"Mooie afwerking, kleine details.  Functioneel, overal aan gedacht. Isolatie: nog geen oordeel. Levering.",evtl. een afritsbare muts.
E12ACA0167,8,"De jas laat toe dat je bewegingsvrijheid hebt tijdens de wintersport. Is niet een dikke jas, maar lijkt wel goed geïsoleerd.",Paar steken op de naden waren los. Dan steekt er zo'n draadje uit een van de naden. Jas werkt verder nog goed.
